case_code,market_name,addr,business_week,context,ValidDate,Latitude,Lontitude,type,badge_code,business_hours,business_hurs_end,last_edited_date
2021032200065,野火燒烤,臺中市沙鹿區英才路 靜宜夜市,星期一，星期三，星期四,各類肉品串燒蔬菜串燒,2024/04/07 16:00:00,24.227376,120.576153,販售,C003035,18:30,12:30,2021/04/22 02:30:14
2021031900073,麵線糊了,彰化縣溪湖鎮光華里5鄰環中街121號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,販售麵線糊 煎餃 關東煮等小吃,2024/04/07 16:00:00,23.960003,120.478988,餐飲,D004506,11:00,21:00,2021/04/14 20:30:08
2021032200037,黑輪豬肉,臺中市大肚區中沙路164巷3弄114號,星期二，星期三，星期四，星期五，星期六，星期日,本店販賣國產黑豬肉,2024/04/07 16:00:00,24.173971,120.579346,餐飲,D004478,05:00,13:00,2021/04/14 20:30:23
2021032200008,巧馥肉鬆店(A020),臺中市梧棲區雲集街2號    ,星期二，星期三，星期四，星期五，星期六，星期日,本店販售肉乾、肉鬆等相關豬肉產品皆使用國產豬,2024/04/07 16:00:00,24.254241,120.53312,販售,B002577,06:00,13:00,2021/04/14 20:30:16
2021031700072,娥媽豬肉店,彰化縣福興鄉番社村51-5號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,本店販售新鮮豬肉及早午餐、肉燥飯等,2024/03/25 16:00:00,24.022741,120.455926,販售,A000990,07:00,15:00,2021/04/14 01:27:16
2021032500071,慶筆小吃店,臺中市大甲區中山路一段873巷1號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,本店經營專賣切仔麵 筒仔米糕及燉湯和滷味小菜,2024/04/15 16:00:00,24.343022,120.623465,餐飲,D004716,11:30,20:00,2021/04/22 03:32:54
2021032500067,大甲潮港城餐廳,臺中市大甲區中山路一段876-1號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,婚宴廣場 社團援證 可容納 250桌 超大停車場,2024/04/15 16:00:00,24.347895,120.627747,餐飲,D004715,11:00,21:00,2021/04/22 03:32:52
2021032500039,中庄陽春麵,臺中市大安區中山南路510號,星期二，星期三，星期四，星期五，星期六，星期日,於自家經營麵館小食,2024/04/15 16:00:00,24.35056,120.58426,餐飲,D004713,10:00,18:30,2021/04/22 03:32:46
2021032500023,炳津肉舖,臺中市梧棲區雲集街2號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,豬肉批發、零售,2024/04/15 16:00:00,24.254241,120.53312,販售,D004712,06:00,13:00,2021/04/22 03:32:41
2021032500020,登豐肉脯行,臺中市大甲區民生路34號,星期二，星期三，星期四，星期五，星期六，星期日,賣豬全部份，採用國產豬肉,2024/04/15 16:00:00,24.347349,120.625468,販售,D004711,04:30,11:00,2021/04/22 03:32:40
